,A,B,C,D,E,Question,Reponse,Reponse_preprocess,file
1,A. L’éducation à la santé,B. La prévention,C. La promotion de la santé,D. L’alerte précoce en situation d’urgence,"E. Les propositions A, B, C et D sont fausses","Dans sa mission de santé publique, quelle mesure principale l’Union européenne a- t-elle adoptée ?",Réponse : C,['C'],chapitre2
2,A. Les cancers,B. Les fractures,C. Les maladies cardiovasculaires,D. Les maladies respiratoires,"E. Les propositions A, B, C et D sont fausses",De quelles pathologies le tabagisme peut-il être à l’origine ?,Réponse : ACD,"['A', 'C', 'D']",chapitre2
3,A. Des incitations,B. Des obligations,C. Des récompenses,D. Des interdictions,"E. Les propositions A, B, C et D sont fausses","En matière de prévention du tabagisme, que comportent les mesures législatives européennes ?",Réponse : ABD,"['A', 'B', 'D']",chapitre2
4,A. La description des méfaits du tabagisme en milieu scolaire,B. La fixation d’un âge légal pour les acheteurs,C. L’information grand public sur les dangers du tabagisme,D. Le retrait du tabac des comptoirs en libre-service,"E. Les propositions A, B, C et D sont fausses",Sur quoi portent les obligations en termes de prévention du tabagisme ?,Réponse : BD,"['B', 'D']",chapitre2
5,A. La vente de cigarettes à l’unité,B. La promotion de la cigarette électronique,C. Les affichages de toutes formes de publicité,D. Les parrainages,"E. Les propositions A, B, C et D sont fausses",Quelles interdictions frappent les produits du tabac ?,Réponse : ACD,"['A', 'C', 'D']",chapitre2
6,A. L’interdiction des cigarettes avec des arômes caractérisants,B. L’augmentation rapide des prix du tabac,C. L’interdiction d’éléments trompeurs,D. L’harmonisation de la fiscalité indirecte au sein de l’Union,"E. Les propositions A, B, C et D sont fausses","Dans sa Directive de 2014, que prévoit principalement l’Union européenne ?",Réponse : AC,"['A', 'C']",chapitre2
7,A. Une surveillance douanière renforcée,B. L’instauration de mesures coercitives fortes,C. Un système de traçabilité et de sécurité,D. L’intervention du Parquet européen,"E. Les propositions A, B, C et D sont fausses","Contre le commerce illicite des produits du tabac, que prévoit l’Union européenne dans sa Directive de 2014 ?",Réponse : C,['C'],chapitre2
8,A. 22,B. 18,C. 10,D. 14,"E. Les propositions A, B, C et D sont fausses","Dans la lutte contre le tabagisme, combien d’avertissements sanitaires la France a- t-elle retenus ?",Réponse : D,['D'],chapitre2
9,A. La concentration et le volume maximum de nicotine,B. La pureté des ingrédients,C. Le mode d’emploi,D. L’inviolabilité pour être à l’épreuve des enfants,"E. Les propositions A, B, C et D sont fausses","Au sujet des cigarettes électroniques, sur quoi portent les exigences de sécurité et de qualité ?",Réponse : ABD,"['A', 'B', 'D']",chapitre2
10,A. Les effets indésirables,B. La liste des ingrédients,C. L’origine des ingrédients,D. Les instructions d’utilisation,"E. Les propositions A, B, C et D sont fausses"," Au sujet des cigarettes électroniques, que doit mentionner l’étiquetage ?",Réponse : AB,"['A', 'B']",chapitre2
11,A. Les lieux de travail intérieurs,B. Les lieux publics intérieurs,C. Les terrasses couvertes des cafés et restaurants,D. Les transports en commun,"E. Les propositions A, B, C et D sont fausses"," Contre l’exposition à la fumée de tabac, quels endroits l’Union européenne a recommandés aux États membres de protéger ?",Réponse : ABD,"['A', 'B', 'D']",chapitre2
12,A. La lutte contre l’alcool au volant,B. La fixation d’un taux légal à 0% g/l,C. L’interdiction de promotions directes et indirectes,D. L’interdiction de l’alcool aux femmes enceintes,"E. Les propositions A, B, C et D sont fausses"," Par quelles mesures, l’Union protège-t-elle sa population contre les méfaits de l’alcoolisme ?",Réponse : A,['A'],chapitre2
13,A. Les enfants à naître,B. Les sans domicile fixe,C. Les jeunes conducteurs,D. Les adolescents,"E. Les propositions A, B, C et D sont fausses"," Dans sa stratégie de lutte contre l’alcoolisme, quelles populations vise l’Union européenne ?",Réponse : A,['A'],chapitre2
14,A. L’utilisation de la fiscalité,B. L’interdiction des boissons alcoolisées sur les lieux de travail,C. La lutte contre les marchés parallèles d’alcools,D. Le développement de boissons sans alcool,"E. Les propositions A, B, C et D sont fausses"," En vue de diminuer l’impact de l’usage nocif d’alcool, que préconise l’Union européenne ?",Réponse : ABC,"['A', 'B', 'C']",chapitre2
15,A. Une morbidité et une mortalité prématurée,B. Une propension à des tentatives de suicide,C. Une inclination aux féminicides,D. Une altération du développement du fœtus,"E. Les propositions A, B, C et D sont fausses"," Selon l’Union européenne, quels dégâts occasionne une consommation excessive d’alcool ?",Réponse : AD,"['A', 'D']",chapitre2
16,A. Les collectivités territoriales,B. La police de la circulation,C. Le secteur de la santé,D. Le secteur de l’éducation,"E. Les propositions A, B, C et D sont fausses"," Dans le cadre de la lutte contre l’alcool au volant, à quels instances nationales l’Union européenne demande-t-elle des efforts conjoints ?",Réponse : ABC,"['A', 'B', 'C']",chapitre2
17,A. Les troubles musculo-articulaires,B. Le diabète de type 2,C. L’infarctus,D. L’endométriose,"E. Les propositions A, B, C et D sont fausses", Quel facteur de risque important provoque la surcharge pondérale ?,Réponse : B,['B'],chapitre2
18,A. Des troubles musculo-articulaires à l’âge adulte,B. L’échec scolaire,C. Le manque de confiance en soi,D. Une diminution de l’espérance de vie,"E. Les propositions A, B, C et D sont fausses", À quoi peut exposer l’obésité infantile ?,Réponse : BC,"['B', 'C']",chapitre2
19,A. La suppression des pesticides,B. L’étiquetage des aliments,C. L’information des consommateurs,D. L’instauration du « Nutri-Score »,"E. Les propositions A, B, C et D sont fausses"," En matière d’alimentation, à propos de quels domaines est intervenue l’Union européenne ?",Réponse : BC,"['B', 'C']",chapitre2
20,A. Du producteur au consommateur,B. Fruits et légumes à l’école,C. Distributions gratuites,D. De la ferme à l’assiette,"E. Les propositions A, B, C et D sont fausses"," En relation avec sa préconisation d’une consommation accrue de fruits et légumes, quels programmes a mis en œuvre l’Union européenne ?",Réponse : BC,"['B', 'C']",chapitre2
21,A. Se nourrir correctement,B. Exercer une activité physique régulière,C. Surveiller régulièrement son poids,D. Privilégier les produits Bio,"E. Les propositions A, B, C et D sont fausses", Que préconise l’Union pour assurer un bon état de santé ?,Réponse : AB,"['A', 'B']",chapitre2
