,A,B,C,D,E,Reponse,Reponse_preprocess,file
1,A. Le socialisme,B. Le libéralisme,C. Le consumérisme,D. Le communisme,"E. Les propositions A, B, C et D sont fausses",Réponse : BD,"['B', 'D']",data_txt/economie
2,A. L’imposition,B. La rétribution,C. Le dédommagement,D. Le blocage des prix,"E. Les propositions A, B, C et D sont fausses",Réponse : BC,"['B', 'C']",data_txt/economie
3,A. La production,B. La consommation,C. L’exportation,D. L’importation,"E. Les propositions A, B, C et D sont fausses",Réponse : AB,"['A', 'B']",data_txt/economie
4,A. Par des stratégies anti-dumping,B. Par la suppression des aides d’État,C. Par l’interdiction des monopoles,D. Par la création de services publics,"E. Les propositions A, B, C et D sont fausses",Réponse : CD,"['C', 'D']",data_txt/economie
5,A. Une grève générale,B. Une pénurie alimentaire,C. Une déflation,D. Un trouble total à l’ordre public,"E. Les propositions A, B, C et D sont fausses",Réponse : D,['D'],data_txt/economie
6,A. Le marché immobilier,B. Le marché boursier,C. Le marché des changes,D. Le marché des matières premières,"E. Les propositions A, B, C et D sont fausses",Réponse : AB,"['A', 'B']",data_txt/economie
7,A. La modulation des tranches d’imposition,B. La fixation de minima sociaux,C. La mutualisation,D. Le blocage des loyers,"E. Les propositions A, B, C et D sont fausses",Réponse : C,['C'],data_txt/economie
8,A. La politique sociale,B. La politique budgétaire,C. La politique commerciale,D. La politique monétaire,"E. Les propositions A, B, C et D sont fausses",Réponse : BD – QCM 264 du Livre Total UE 7,"['B', 'D']",data_txt/economie
9,A. Agir sur les revenus de transfert,B. Agir sur le déficit budgétaire,C. Agir sur le financement des collectivités,D. Agir sur les programmes d’investissement,"E. Les propositions A, B, C et D sont fausses",Réponse : AD,"['A', 'D']",data_txt/economie
10,A. Des normes de sécurité environnementales et sanitaires,B. Des services publics d’intérêt général,C. Des mesures en faveur de la compétitivité,D. Des monopoles d’exercice de fonctions souveraines,"E. Les propositions A, B, C et D sont fausses",Réponse : ABD – QCM 265 du Livre Total UE 7,"['A', 'B', 'D']",data_txt/economie
11,A. Par des réductions d’impôts,B. Par la couverture collective des risques sociaux,C. Par la mutualisation des risques sociaux,D. Par des ajustements de prélèvements obligatoires,"E. Les propositions A, B, C et D sont fausses",Réponse : BC – QCM 266 du Livre Total UE 7 (du coup confirmé + dans le polycopié +++),"['B', 'C']",data_txt/economie
12,A. Des versements d’assistance aux personnes,B. Le remboursement de la dette,C. Le fonctionnement des institutions et agences étatiques,D. Les contributions aux engagements internationaux,"E. Les propositions A, B, C et D sont fausses",Réponse : A,['A'],data_txt/economie
13,A. Le minimum vieillesse,B. La prime à la naissance,C. L’allocation spécifique de solidarité,D. L’allocation logement,"E. Les propositions A, B, C et D sont fausses",Réponse : ACD,"['A', 'C', 'D']",data_txt/economie
14,A. Une forte baisse du taux de chômage,B. Un taux de croissance annuel de 2%,C. La suppression des mécanismes de solidarité,D. La diversification des sources de financement,"E. Les propositions A, B, C et D sont fausses",Réponse : E (comme Erwin J),['E'],data_txt/economie
15,A. L’éducation,B. La santé,C. Les transports,D. La sécurité,"E. Les propositions A, B, C et D sont fausses",Réponse : AB,"['A', 'B']",data_txt/economie
