,A,B,C,D,E,Question,Reponse,Reponse_preprocess,file
1,A. La permanence,B. L’indépendance de fonctionnement,C. La personnalité juridique,D. Les ressources propres,"E. Les propositions A, B, C et D sont fausses",Quels caractères présentent les organisations internationales en santé ?,Réponse : ACD,"['A', 'C', 'D']",institutions
2,A. Par leur faculté de faire pression sur les États,B. Par leur large périmètre d’intervention,C. Par leur rapidité de réaction,D. Par leur professionnalisme,"E. Les propositions A, B, C et D sont fausses",En quoi les organisations non gouvernementales en santé bénéficient-elles d’une large influence ?,Réponse : A,['A'],institutions
3,A. Yeux exorbités,B. Émaciation sévère,C. Œdèmes nutritionnels,D. Très faible rapport poids/taille,"E. Les propositions A, B, C et D sont fausses","Selon l’OMS, à partir de quels symptômes visibles détecte-t-on, chez l’enfant, une malnutrition aigüe sévère ?",Réponse : BCD,"['B', 'C', 'D']",institutions
4,A. 4,B. 6,C. 7,D. 9,"E. Les propositions A, B, C et D sont fausses",De combien de Bureaux régionaux dispose l’Organisation Mondiale de la Santé ?,Réponse : B,['B'],institutions
5,A. Les incidents de dissémination de virus à partir de laboratoires de recherche,"B. Les contaminations par aliments, agents chimiques et matières radioactives",C. Les contaminations par maladies infectieuses nouvelles ou ré-émergentes,D. L’intense propagation de facteurs cancérigènes dans l’environnement,"E. Les propositions A, B, C et D sont fausses","Au titre d’une possible urgence internationale de santé publique, quels types d’évènements les États doivent-ils signaler à l’OMS ?",Réponse : BC,"['B', 'C']",institutions
6,A. Des études épidémiologiques sur l’incidence du cancer,B. Des enquêtes au sujet de l’impact de l’environnement sur certains cancers,C. La classification des catégories de cancérogènes,D. Des monographies sur les dépistages des cancers,"E. Les propositions A, B, C et D sont fausses",Quels travaux effectue le Centre international de recherche contre le cancer (CIRC) ?,Réponse : AC,"['A', 'C']",institutions
7,A. La focalisation sur des produits à faible coût,B. L’homologation de produits pharmaceutiques de qualité,C. L’établissement d’une « short liste » de laboratoires sûrs,D. L’assurance de médicaments disponibles en quantité,"E. Les propositions A, B, C et D sont fausses",Que représente la pré-qualification des médicaments effectuée par l’OMS ?,Réponse : BD,"['B', 'D']",institutions
8,A. La commande de vaccins aux laboratoires,B. La préparation des moyens d’action,C. La diffusion de messages d’avertissement sécurisés,D. La planification des interventions,"E. Les propositions A, B, C et D sont fausses",Quels rôles jouent les autorités sanitaires durant les phases 1 à 3 d’alerte à une pandémie de grippe ?,Réponse : BD,"['B', 'D']",institutions
9,A. La distribution de dispositifs individuels de protection,B. La vaccination en population générale,C. Les instructions pour les mises en quarantaine,D. La limitation des déplacements transfrontières,"E. Les propositions A, B, C et D sont fausses",Quels rôles jouent les autorités sanitaires durant les phases 4 à 6 d’alerte à une pandémie de grippe ?,Réponse : C,['C'],institutions
10,A. Confiance,B. Consentement,C. Confidentialité,D. Conseil,"E. Les propositions A, B, C et D sont fausses", Que signifient les « Trois C » préconisés par ONUSIDA concernant le test du VIH ?,Réponse : BCD,"['B', 'C', 'D']",institutions
